	最近生活很混乱。
	是乱了，乱了也得捋一下，开一个家庭会确定一下边界，不要将规章制度，你刚才说小学立规章制度，我就心里面猜个7788，孩子一定会反的。那个规章制度我就问你坚持的了，真的是这样，你就是小时候也坚持不了。我不知道给好多班主任讲过这事儿了，班主任的辛苦基本上都来自于他的班规。我跟你说我曾经有一个言论，当时我记得我在另外一个年级的办公室讲出来，全体班主任就是在拍掌说佳微说的太好了，那么年轻，他们说班主任累吗？我说班主任，他们说他说你是年轻医生，怎么样。我说你们只是被班规绑架了，全体安静，全体安静，很多人都反应过来，确实这样子。我跟你说，我观察的班主任跟家庭一样，就被那些规定绑架了，就列一个班规，然后最后你就会发现，你会为了这个班规累死。我们整个师门不列班规，没有班规就是我们一起过的日子，我们要去体会哪个效率高。
	第二，在集体中哪一个触犯了别人的利益。第三个，如何争取自己的利益。第四个，如何利用集体的资源。第五个，如何充满勇气的活下去。
	那么规定是什么呢？规定就是依据这些东西的。出了一件事情，第一有没有损伤别人的利益。第二你要做的事情有没有向别人撒娇，就是你要做的事情是需要很多人为你服务的。你自己想一下有没有毛病，你就很多规定就成型了，然后多讲流程。
	来我们这件事儿有点乱，特别是晚自习的时候，晚自习的时候写作业有点乱。你知道我们又有两个英语班，A班、B班又有西班牙语，还有德语，然后语数外物化是吧？政史地层有些老师也不知道为啥要这一点作业。
	然后晚自习的时候，课代表就要在那个黑板上写作业，有些时候就会吵闹。因为课代表他认为自己写作业的时候是可以讲话的，所以其实不是下面的同学吵闹，是课代表先吵，先开始小声说话。你知道一个班上只要有人说话，那就全班就开始说了。这个时候就你理定流程就说我们我们出问题了。你们不觉得每次上来写作业的时候都有点吵吗？就一定有人点头。
	好，我们用一个流程来解决这个问题。我们按照这个流程语数外物化，就是语数AB得C是吧？物化的顺序在黑板上写作业，那么不做任何交流。
	数学课代表写完之后去拍英语A班课代表的肩膀，英语课A班课代表上面写形成一个流程，一切自动化。我说我们做这件事情，课代表是不是也轻松？你不需要去填，一直问谁写了，黑板上还有什么空位，然后招了A都写了，我们一般是不是应该写了，你不需要再去消耗这种社交成本，那么也不需要商量？你过去一点，我过来一点。
	是不是同学们也感觉很轻松，因为什么呢？数学黑板也分区数学一定写在这里，语文一定写在这里，英语一定写在这里，大家也不需要找来找去。物理课代表是不是还没写作业？数学课代表写的作业在哪里？就全部成本消耗，这是用流程解决的。这个流程是为大家服务的，是为集体服务的，不是一个我是你们的主宰，我来定个规矩，大家不服从，只要不服从我罚死你。这种老师不仅被全班同学讨厌，而且他自己也特别累。因为好的流程是让大家轻松的，而我们制定了很多规矩，其实又让父母累，又让孩子累，又让老师累，这个就不叫做什么规矩意识。有些人说我要给孩子一个规矩意识，不是你那都不叫规矩，因为是折磨人的东西。所以你一说小时候给孩子制定规章制度，你带入感受一下，你自己能完成吗？
	只要提到规章制度，就没有哪个家庭是太平的，特别到了青春期，所以你要注意，你就是个姿态的问题，你不是主宰，你是他的战友，不是用嘴巴说的，是渗透在生活的方方面面的。比如说孩子突然炸了，情绪失控了，你想一下如果你是他的战友，你什么状态？那这个小子今天怎么神经病你怎么了？失恋了，你家里面出事儿了，是不是战友是不是这个态度？战友也不会说，你生气了我讨好你，我怕你了，我今天不讲话，我不讲话了，我不讲话了，战友也不是这个态度，战友也不是，你跟谁生气，你自己没做好，战友也不是这样，战友是什么？你神经病啊啊啊，你出什么事儿了，那么的恼火。晚上喝酒，反正父母不可能叫孩子晚上喝酒是吧？晚上喝个酒给哥哥说说，哥看看有没有办法帮你是不是战友是这个态度，你找到那个姿态，你一下就对了。
	你会发现孩子也会对很多，但是他因为对你有长期，我刚才第一句话就跟你说，这是积压已久的东西，所以这个成见消除需要时间，你得稳定。但是你得有话说，你没话说你会委屈。就是每次孩子在抵触的时候，你是有话说的，你不要说他不对，你要说他你自己可能有点恼火，才会这样有机会把你恼火的事情跟妈妈说。以前可能妈妈没帮你，现在妈妈可以用点钱找老师帮你，或者叫你爸爸来帮你。
