	沈老师，为什么我们聊爱情这种感性的问题，要从认知的角度聊呢？
	认知的改变最厉害的就是你的生活环境都没有变，你看整个世界的认知全变了。我来讲我自己的爱情故事，我觉得我特别的幸运。我在20岁的时候遇到了一个完全长在我审美点上的男人。我觉得他长得特别好看，然后我跟他谈恋爱，然后结婚，我觉得他特别的努力工作，挣钱也比较厉害，来满足我的经济需求。到了四十多岁的时候，因为我很想去出来工作，所以他愿意调整他的职业发展的途径，来更好的照顾家庭。然后现在我觉得他在带孩子也带的很好，能够使得我像这个周末都出来录各种的课程，节假的课程，我觉得我的人生特别的幸福，这是我的人生，这是我的认知。
	但我也可以讲另外一个故事，这也是我真实的人生。我在二十多岁的时候遇到了一个男人，他特别贫穷，来自乡村。我没有嫌弃他，跟他在一起。在一起以后，从孩子出生到后面，全部是我一个人努力工作的。他除了在外面干事业以外，挣点钱以外，他对我们的家庭照顾的特别少。好不容易到了40岁了，我觉得他可以挣更多的钱了，结果他竟然放弃了很挣钱的职业要做转型，然后来带孩子。我是家庭教育专家，他又不听我的，按照他的想法去带孩子，然后把这个孩子的事情全接手了。真的我觉得我的人生特别的悲催。这两个人生都是我的真实的状况，我的人生幸不幸福取决于我用哪个版本。
	沈老师，作为一个女孩，我经常会因为感情不顺利而埋怨自己，怎么消解对自己的埋怨呢？
	我觉得你一定要上我的爱情课。上完这门课以后，你会发现你对自己也很满意，你对身边的人也很满意。你就会走到一个良性的循环里去。因为我们对自己的满意并不是一种假的表扬，而是真的是一种认知上的改变，才能带来对自己的满意。
	这个虚假的表演，每天说我自己很棒，我怎么样，这种打鸡血时间长了它没有效果的。但是如果你真的改变认知了，你觉得原来我真的是有这个点的，那就很好。我们在差异里面会讲，一个人没有优点缺点，只有特点。你接受自己特点的时候，你就会发现这个特点在有些场合就是好的，有些场合就是不好的。我之所以成为我，我必然是要有个有特点的那我在有些方面可能就没有没办法做到所有人。
	都喜欢沈老师。在婚恋上我跟父母想法不一致，我确实要面对父母的不满意和失望。我刚怎么消解这个事儿呢？
	我觉得不是不管了，而是当我们理解他为什么这样子的时候，实际上就会去更好的去理解他，原来他是受了这样的文化，所以他有这样的想法。我们对每一个人的行为，你了解他背后的原因的时候，你就不会觉得是他人品的问题。所以我们这门课反复在强调，我们其实特别想把你的问题变成他怎么可以这样？变成他为什么这样？我们的父母是希望我们好，是因为那个好是符合他成长年代的这个文化背景的。所以他并不是不想你好，他只是他的成长年代。那你想想看，我们没有办法让我们的父母逃离他曾经成长的年代，他没有办法跟我们一样在这个时代成长，所以他的这些想法就很正常。所以我经常跟很多的朋友讲，如果你的父母催婚，你就告诉他，我也真的很想结婚。你可以把你的爱情脚本你给他看，告诉他找到这样的就是我喜欢的，你来帮助我，你会发现父母就很乐意去做这个事情。
	也就是说不要把这个关系对立起来。因为我们并不是对立，我们只是站在了不同的所谓好的立场上去做事情。我们找到中间的一些共性的东西，我们把那些差异的东西先放一放，我们后面专门会有一讲叫沟通。其实我讲的沟通跟很多人讲的沟通是不一样的。一个好的沟通，它一个非常重要的前提是不做评价。什么叫不做评价？
	就是当我听到你讲这个事情的时候，我不是首先去考虑你是对的还是不对的，你是为我好还是伤害我，你是怎么样我不做评价，我只说原来你讲了是这个事情，原来是因为这个原因导致你这么想，它是一个客观事实。当我们不做评价的时候，你就会发，我们就心平气和了，我们就能够去理解对方了。所以社会学它是不做太多的价值判断的，我们没觉得什么好什么不好，我们只是告诉你存在就是合理的。这个合理不是说存在就是好的，而是说每一个存在它都有它的理由，你得看到它的原因，这个时候你心态就放平了。
	英文里有个词叫don't judge，他们天天说这个don't dge。我就很奇怪为什么老总这两句？其实我后来发现这一点在人际交往里特别重要。因为当你每次做判断评价的时候，你会站在正义的一面，你觉得我是对的，我要改变你错误的那我就为了我的正义的目标，我一定要干掉你。但如果我们不在做评价的时候，你就会发现，原来你是这样子的，我是不我是另外一块的。所以我们在这个模块里专门有一个第三模块，很大的一个模块来告诉你怎么对待差异化。其实就是想告诉你，你要跳出这个评价的机制，你首先要改变的是对差异的看法。当你有好的差异观的时候，你才能真正做到不做评价，你能更学会如何去尊重对方，对自己很多时候也不要做很多的评价。
